name,text_type
狼烟北平,剧情
毛舜筠中最佳女主角娱乐,传记
玩伴 ,剧情
熊熊乐园 ,动画
爱情是从告白开始的第集,喜剧 爱情
将军在上 ,剧情 爱情 古装
女医明妃传 第集,剧情 古装
巨浪 ,剧情 冒险
赛季CBA总决赛,真人秀
米雅的精灵王国 ,短片 奇幻 冒险
突围行动国语版,剧情
地雷战 ,剧情 战争
和平饭店,剧情 悬疑
东南卫视,真人秀
爱人同志 ,剧情 战争
HD我的父亲我的兵 第集,剧情
魁拔妖侠传 ,动作 动画 奇幻 冒险
西游记TVB版第二部国语版,动画
小猪佩琪 ,剧情 动画 家庭 儿童
超变武兽 ,动画 战争 冒险
无敌铁桥三 ,剧情 古装
寻秦记 ,古装
金太狼的幸福生活,喜剧
湖南卫视高清,音乐 歌舞 真人秀
爱情上上签第集,喜剧 爱情
四川卫视,音乐 歌舞
吉林卫视,喜剧
熊出没之探险日记 ,动画
胭脂水粉国语版,剧情 爱情 家庭
奶奶再爱我一次 ,剧情 爱情 家庭
我爱发明,纪录片 真人秀
猪猪侠之梦想守卫者 上部 ,喜剧 动画 奇幻
阿贡中文TV版 ,剧情 动画 悬疑 犯罪
IPTV,喜剧 短片
武林风精编版,剧情 历史 战争
电影银翼杀手美国,剧情 科幻 惊悚
小猪佩奇第一季,剧情 动画 家庭 儿童
猪猪侠之超星萌宠 ,喜剧 动画 奇幻
猎车兽魂 ,科幻 动画 儿童
穿越火线第集,剧情 动作 科幻 战争
IPTV相声小品,喜剧
北京青年 ,剧情
好久不见,剧情 爱情
美好生活 ,剧情 爱情
精武门 ,剧情 动作 爱情 惊悚
长在面包树上的女人 第集,剧情 爱情
风筝第集,剧情 犯罪
浙江卫视高清,音乐 歌舞 真人秀
蜀山战纪剑侠传奇第集,武侠 古装
安徽卫视高清,音乐 歌舞
长沙保卫战,战争
武松 ,武侠 古装
云巅之上第一季第集,剧情 爱情
标清 电影芭比之真假公主美国,喜剧 动画 歌舞 家庭
金鹰卡通,脱口秀
电影堡垒美国,喜剧
江苏卫视高清,歌舞
东方卫视高清,音乐 真人秀
上海王,剧情 动作 爱情
夜宴,剧情 动作 古装
新水浒传第集,剧情 动作 古装
机变英盟 第二季 ,喜剧 动作 奇幻 冒险
黑狐之风影,剧情
海峡两岸,剧情
海上嫁女记,剧情 爱情
动作影院测试,动作 科幻 惊悚
咱们相爱吧DVD版 ,剧情 爱情
欢乐饭米粒儿,喜剧
妻子的谎言,剧情 家庭
亲家来了,剧情 历史 战争
HD国家底线,剧情
巴啦啦小魔仙之飞越彩灵堡 第二季 ,儿童 奇幻 冒险
熊爸熊孩子 ,剧情 家庭
 生活麻辣烫 前任归来,喜剧 爱情
情满四合院,剧情
CCTV,纪录片
超级飞侠 ,动画
初心 ,剧情
学警出更国语版,剧情 犯罪
喜羊羊与灰太狼之发明大作战 ,动画 儿童
恋爱先生第集,剧情 爱情
赛季NBA季后赛,剧情
钻石豪门 ,剧情
喜剧影院测试,喜剧 科幻
超级飞侠第三季 ,动画
暖男的爱情与战争 ,剧情 爱情 家庭
新三国第集,剧情 历史 战争
魔都风云,剧情 爱情
你是我的鱼,剧情 爱情
贵州卫视,音乐 真人秀
恰克大冒险 TV版 ,剧情 动作 动画
回到三国国语版,古装
古装剧场测试,剧情 喜剧 古装
电影巴黎危机法国美国英国,剧情 动作
剃刀边缘 第集,剧情 战争
致单身男女,剧情 爱情
巨浪,剧情 冒险
因为遇见你,剧情 爱情
金牌投资人,剧情
百变星球历险记 ,动画
金牌调解,真人秀
窃听风云Ⅲ,剧情 动作 悬疑 犯罪
生逢灿烂的日子,剧情 家庭
远大前程,剧情
红色 ,剧情 战争
渝乐耍大牌首,短片 音乐 脱口秀
HD异兽来袭国语版,剧情
比得兔 ,喜剧 动画 冒险
HD海上嫁女记 第集,剧情 爱情
辛追传奇 ,剧情 历史 战争 古装
大军师司马懿之军师联盟 ,剧情 爱情 战争 古装
帮帮龙出动之恐龙探险队 ,动画
笑傲江湖版国语版,动作 武侠 古装
终极使命,剧情 战争
HD南极之恋国语版,爱情 冒险
一站到底,真人秀
奶奶再爱我一次,剧情 爱情 家庭
逗逗迪迪爱探险 ,动画 儿童 冒险
贝瓦儿歌 第二季 ,动画
微微一笑很倾城 ,剧情 爱情
无敌县令,剧情 古装
后海不是海 ,剧情 犯罪
星影测试,动作 科幻 冒险
到爱的距离new,剧情 爱情
电影刺客联盟美国,动作 惊悚 犯罪
雪豹坚强岁月第集,剧情 战争
边关烽火情 第集,剧情 爱情
恋恋不忘 ,剧情 爱情
烈火刀影,剧情 爱情 历史 战争
精彩音乐汇,音乐 歌舞
HD一个鬼子都不留,剧情 战争
HD通天狄仁杰 第集,音乐 舞台艺术
择天记 ,剧情 奇幻 古装
舞法天女朵法拉第一季,喜剧 音乐 歌舞 儿童
深圳卫视高清,脱口秀
自然传奇,纪录片
哈喽葡星人,儿童
辽宁卫视高清,真人秀
万家灯火,剧情
家和万事兴DVD版 ,剧情 家庭
渝乐耍大牌重,短片 音乐 脱口秀
巨神战击队TV版 ,动作
HD米奇妙妙屋第四季,喜剧 动画 家庭
急诊科医生 ,剧情
英雄使命,动作 战争
我的父亲我的兵,剧情
八九不离十 ,剧情 爱情
阳光下的法庭,剧情
十月围城 ,剧情 动作 历史
千方百计爱上你第集,剧情 爱情
秦时丽人明月心 ,剧情 爱情 古装
体育世界,纪录片 运动
比得兔第二季 ,喜剧 动画 冒险
加菲猫的幸福生活 第四季 ,剧情 喜剧 动画
县委书记 ,剧情
熊出没之冬日乐翻天 ,动画
凤囚凰大结局,剧情 爱情 古装
养母的花样年华,剧情 家庭
风筝,剧情 悬疑
舌尖上的中国Ⅰ,纪录片
嘎巴宝宝第二季NEW,家庭
中国新闻,纪录片
十七岁的雨季,剧情 爱情
标清 电影绣春刀Ⅱ修罗战场,剧情 动作 武侠 古装
还珠格格第一部 ,剧情 喜剧 动作 爱情 古装
猎豺狼,剧情
电影做次有钱人,喜剧 爱情
东方看大剧,纪录片
捷德奥特曼 日配版 ,动作 科幻 动画
下一站婚姻第集,剧情 爱情 家庭
凤囚凰,剧情 爱情 古装
宝宝巴士之奇妙数学大冒险 ,传记
裸婚时代 ,剧情 爱情 家庭
HD武媚娘传奇,传记 历史 古装
神机妙算刘伯温,剧情
天下足球,脱口秀
小楼又东风 ,剧情 爱情
山炮进城,喜剧
我爱男保姆 ,剧情 喜剧
飞哥战队 ,剧情 战争
血色黎明,剧情
仙剑奇侠传 第一部 ,爱情 奇幻 武侠 古装
怎么会爱上你 ,喜剧 爱情
云南卫视,剧情
综艺喜乐汇,真人秀 脱口秀
开心剧场女汉,悬疑
复合大师第集,喜剧 爱情
双星之阴阳师 ,剧情 动作 动画
熊出没之雪岭熊风,喜剧 动画 家庭 冒险
鹿鼎记 ,喜剧 动作 古装
冷暖人生,剧情 战争
永不放弃 ,剧情 运动
标清 电影X战警：第一战美国,剧情 动作 科幻
映山红 ,剧情
飞天小女警第四季,喜剧 动画 儿童
HD暖爱,剧情 爱情
爸爸父亲爹 ,剧情 战争
我不是精英 ,剧情 喜剧 爱情
你好旧时光第集,剧情 爱情
HD和平饭店,剧情 悬疑
撒娇女人最好命,喜剧 爱情
魔幻陀螺第二季 ,动画
动画测试,剧情 动画
摇滚萝莉 第季 ,动画
头号前妻,剧情 爱情
爱情万万岁,剧情 爱情
经典电影,纪录片 历史
梦幻镇 ,动画
酷爸俏妈 ,剧情 家庭
新乌龙山剿匪记 ,剧情
小马宝莉大电影之无尽森林传奇,喜剧 动画 冒险
爱情公寓 第三季 ,剧情 喜剧 爱情
千金女贼 ,剧情 爱情
美食大冒险 第二季 ,动画
你是我的姐妹,剧情 爱情 家庭
喜羊羊与灰太狼之深海历险记 ,动画 儿童
大劫难国语版,剧情 惊悚 犯罪
士兵突击new,剧情
彩色童话故事 ,动画
三国机密之潜龙在渊 ,剧情 古装
森林小卫士罗布 ,动画
乡村警察故事,剧情 动作 犯罪
金牌笑话团 第四季 ,真人秀
HD包青天之七侠五义,剧情 古装
欢乐颂 ,剧情 爱情
电击小子 第一季 ,动画
守护者世纪战元,动作 科幻
标清 亮剑 铁血军魂 第集,历史 战争
西部世界第一季 ,科幻 西部
欧布奥特曼 ,动作 科幻
爱的创可贴 ,剧情 爱情
一仆二主,剧情 爱情
绝命追踪,动作 犯罪
狐影第集,剧情
动物兄弟第一季 ,喜剧 动画 儿童 冒险
纸婚,剧情 爱情
熊出没之春日对对碰 ,喜剧 动画 儿童 冒险
爱情最美丽 ,剧情 爱情
警中警 第二部 ,剧情 犯罪
快乐大本营,脱口秀
神机妙算刘伯温 DVD版 ,剧情
TICO动漫空间,科幻 动画
兽王争锋之原石之力 ,动画
东方战场第集,剧情 历史 战争
HD李雷和韩梅梅国语版,剧情 喜剧 爱情
赛尔号 第三季 ,动画
美丽中国乡村行,纪录片
醉玲珑 ,剧情 爱情 古装
HD锦绣未央第集,剧情 爱情 古装
蒲松龄国语版,纪录片
内线前传第集,剧情 爱情
隋唐演义第集,剧情 历史 古装
我的抗战之猎豹突击,剧情 战争
甜心格格 第二部 ,剧情 喜剧 动作 爱情 古装
名侦探柯南 ,动作 动画 悬疑 惊悚 犯罪
金牌熊猫 ,剧情 动画 儿童 冒险 运动
三生三世十里桃花 ,剧情 爱情
热播剧场,动作 动画
凡人有乐,动作 科幻
好家伙第集,剧情 犯罪
新闻大求真,儿童 真人秀 脱口秀
火力少年王之悠拳英雄 ,动画 战争 冒险
千金女贼 第集,剧情 爱情
蚂蚱,剧情
东江英雄刘黑仔 ,剧情
变形金刚领袖之证全集国语版 ,动作 动画 冒险
小草青青,剧情
勇敢的心,剧情 动作 传记 历史 战争
穹顶之下第二季 ,剧情 科幻 悬疑
广东卫视高清,脱口秀
盲约 ,剧情 喜剧 爱情
我们的爱第集,剧情 爱情 家庭
海底小纵队 ,动画
中国蓝剧场,纪录片
飞虎国语版,剧情 动作 悬疑 犯罪
幸福一定强第集,剧情 爱情
电影蜘蛛侠：英雄归来美国,动作 科幻 冒险
HD左轮手枪第集,剧情 犯罪
美人私房菜 第集,剧情 古装
闯关东前传 ,剧情 历史
神龙策,剧情
十大奇冤new,剧情 武侠 古装
我家有喜 TV版 ,爱情 动画
标清 电影破戒,动作 惊悚
黛玉传,爱情 古装
乙方甲方 第二季 ,喜剧
第一声枪响,剧情 战争
天天向上,脱口秀
海豚第剧场,动画 悬疑 冒险
企鹅部落 ,动画
小猪佩奇 ,剧情 动画 家庭 儿童
电影妖猫传,剧情 悬疑 奇幻 古装
非诚勿扰,喜剧 爱情
HD红色通道,剧情 战争
最美是你 DVD版 ,剧情 爱情
保持清醒,剧情
巨神战击队之超救分队 ,科幻
山东卫视高清,音乐 歌舞
终极一班 ,剧情 喜剧 动作 科幻
爱来的刚好 ,爱情
游击兵工厂 ,剧情
电影轩辕大帝,剧情 历史 古装
我爱你再见 ,剧情 爱情
战长沙,剧情 历史
城市剧场测试,动作 动画
三个女人一个因国语版,爱情
 凡人有喜 我的幸福我做主上,剧情 家庭
云巅之上第二季第集,剧情 爱情
功勋,剧情
HD赌侠大战拉斯维加斯R国语版,喜剧 动作
黄金秒,歌舞 真人秀
飞刀又见飞刀  ,剧情 动作 爱情
生死连,剧情 战争
爱探险的朵拉 ,儿童
守婚如玉 ,剧情 家庭
欧冠开场哨,运动 脱口秀
帮帮团向前冲 ,动画
HD夜市人生,剧情
玉海棠,剧情
陕西卫视,歌舞
华胥引之绝爱之城第集,奇幻 古装
神奇阿哟 ,动画
猫和老鼠 ,喜剧 动画 家庭
神犬小七第二季 ,喜剧 爱情
好先生 ,剧情 爱情
伪装者 TV版 ,剧情 悬疑
幸福还有多远,剧情 爱情
南侨机工英雄传第集,剧情 战争
新白娘子传奇第集,爱情 奇幻 古装
非常,真人秀
家门血斗,动作 古装
苍狼,剧情 动作 冒险
电视剧场黎明破晓前―,剧情 爱情
HD生逢灿烂的日子,剧情 家庭
电影寻龙诀,剧情 动作 奇幻 冒险
逆袭之星途璀璨第集,剧情 爱情
都市,-
鹿鼎记,喜剧 动作 古装
家有购物,喜剧 家庭
黄大妮,家庭
青年霍元甲之冲出江湖,剧情 动作
俏皮大嘴猫之重返城市 ,动画
镖门 ,剧情 爱情
逆缘国语版,剧情 爱情 奇幻
琅琊榜,剧情 古装
越狱第三季 ,剧情 动作 惊悚 犯罪
神探狄仁杰第二部,剧情 动作 悬疑 古装
王牌对王牌上,剧情 动作 悬疑 惊悚 犯罪
HD白鹿原第集,剧情 犯罪
河南卫视,剧情 动作 古装
再见爱人 ,喜剧 悬疑 惊悚 犯罪
IPTV谍战剧场,剧情 悬疑
蜡笔小新第八部,喜剧 动画 家庭
变形金刚之领袖的挑战 第一季 ,喜剧 动作 动画 冒险
突击再突击,剧情
魔都风云父母爱情,剧情 爱情
反恐特战队之猎影第集,剧情
一粒红尘 ,剧情 爱情
与谍同谋国语版,剧情 悬疑
月供 ,剧情 爱情
精灵梦叶罗丽 第五季 ,动画 儿童 奇幻 冒险
HD杂警奇兵国语版,剧情 喜剧
狭路第集,动作 犯罪
理发师 ,剧情 爱情 战争
步步惊心,剧情 爱情
谜巢,动作 冒险
天网,剧情 历史
台湾新闻脸,剧情 喜剧
小王子 D版 ,动画 奇幻
电影一路惊心,剧情 喜剧
左手劈刀第集,剧情
夏至未至,剧情 爱情
HD御姐归来 第集,剧情 爱情
标清 波斯王子：时之刃,动作 爱情 奇幻 冒险
电影诸神之锤英国,动作
熊出没之冬日乐翻天,动画
遇见王沥川,剧情 爱情
特种兵之霹雳火 ,剧情 动作 战争
电影蜘蛛侠美国,动作 科幻 冒险
左轮手枪第集,剧情 犯罪
标清 美丽谎言 第集,悬疑
三八线,剧情 战争
三生三世十里桃花 第集,剧情 爱情
兵临城下 ,剧情 历史 战争
电影哆啦A梦 伴我同行日本,剧情 动画
老农民第集,剧情
雪豹坚强岁月 ,剧情 战争
普法栏目剧,剧情 家庭 犯罪
爱生活测试,爱情
戏曲测试,剧情
电影狱中情书意大利,剧情 爱情
御姐归来 第集,剧情 爱情
亲爱的 ,剧情 家庭
翻手为云,剧情
大汉贤后卫子夫 ,剧情 古装
兰陵王第集,剧情
破晓 ,剧情
HD芈月传 第集,剧情 古装
谈股论金,纪录片
深海利剑第集,剧情
HD叛徒原声版,音乐
大宋提刑官第二部new,剧情 悬疑 历史 犯罪 古装
勇士之城new,剧情 历史 战争
WWE美国职业摔跤,动作 惊悚 冒险
我的青春蜜友,爱情
甘肃卫视,脱口秀
奔跑吧,剧情
爱情碟中谍 DVD版 ,动作 惊悚 冒险
代号,动作 惊悚 犯罪
奔跑吧巅峰演讲,真人秀
过界,剧情 爱情
新侠客行,剧情 武侠
标清 三生三世十里桃花 第集,剧情 爱情
标清 一切都好,剧情 家庭
刀光枪影第集,剧情
HD果栏中的江湖大嫂国语版,喜剧 爱情 犯罪
二十四小时,剧情 动作 悬疑 惊悚 犯罪
欧布奥特曼原生之初 ,科幻
HD独立日原声版,动作 科幻
麦咭首播剧场,喜剧 动画 家庭 冒险
刀锋下的替身new,剧情 动作 爱情 奇幻
国家记忆,剧情 战争
大城小事,剧情 爱情
下一站别离,剧情 爱情
中途岛之战,剧情 动作 历史 战争
跟红顶白大三元 ,剧情 喜剧
魔弹王 ,动画
半个月亮 ,剧情 喜剧 音乐
光影星播客,脱口秀
人类办事处,动作 科幻
少儿动画,剧情 动画 家庭 儿童
完美男人原声版,喜剧 爱情 家庭
聂小倩第集,剧情 犯罪
丑小鸭与白天鹅,剧情 爱情
擒狼 ,剧情 动作 战争 西部
两生花 ,剧情 爱情
炮神,剧情
左手劈刀,剧情
柠檬初上 ,剧情 爱情
武媚娘传奇,传记 历史 古装
我的前半生,剧情 家庭
HD老男孩第集,音乐 舞台艺术
教父,剧情 犯罪
发条城市,喜剧 冒险
哆啦A梦第八部,动画 奇幻 冒险
雪花秘扇,剧情 历史
西施秘史 ,爱情 古装
将婚姻进行到底,剧情 家庭
覆雨翻云国语版,剧情 动作 爱情
美版午夜凶铃,悬疑 恐怖
开心宝贝 ,动画 儿童
钢之炼金术师FA ,剧情 动作 科幻 动画 冒险
我的小小美猴王 ,动画
爱在有情天 ,爱情
我是你的百搭TV版第集,剧情 爱情
向幸福出发,剧情 爱情
 重庆新闻联播,纪录片
湖北卫视高清,音乐 歌舞 脱口秀
芙蓉诀 ,爱情 古装
TICO欢乐假日,剧情 喜剧 爱情 歌舞
好久不见 ,剧情 爱情
向往的生活精编版,剧情 历史 战争
电影保持通话,动作
奥秘,剧情 情色
破局预告片,动作 犯罪
追击巨怪第一季 ,剧情 恐怖 奇幻
好学生测试,剧情 爱情
北京卫视高清,喜剧 音乐 歌舞 家庭 脱口秀
魔都风云魔都风云,剧情 爱情
思美人第集,爱情 古装
情深深雨蒙蒙,剧情 爱情 音乐 战争
中国骑兵 ,剧情 历史 战争
HD前任国语版,纪录片
平博士密码 ,科幻 动画 儿童 冒险
如来神掌 ,动作 武侠 古装
战火中的兄弟 ,剧情 战争
奇奇探险队 ,剧情 动画 儿童
超级巨星第集,喜剧 爱情
踏破硝烟 ,剧情 战争
战后之战第集,奇幻 冒险
红门兄弟第集,剧情 爱情
铁血尖刀 ,剧情
烽火佳人 ,爱情
帮帮龙 出动 ,动画
一代枭雄第集,剧情
刀见笑,喜剧 动作 古装
HD远大前程第集,音乐 舞台艺术
卡酷动画,歌舞 舞台艺术
巴啦啦小魔仙之飞越彩灵堡 ,动画 儿童 冒险
新大头儿子和小头爸爸,喜剧 动画 家庭
赌侠,剧情 喜剧
炫击勇者之炫击战卡 ,动画 战争 奇幻 冒险
守卫者浮出水面第集,剧情 悬疑
鄂尔多斯风暴 ,剧情
摩登新人类 ,剧情 爱情
碟中谍,动作 惊悚 冒险
小马宝莉第五季,喜剧 动画 冒险
海绵宝宝 第七季 ,喜剧 动画 家庭 奇幻
美人计第集,剧情 犯罪
可爱卡 ,动画
机械姬,科幻 悬疑 惊悚
黄飞鸿国语版,纪录片
赵氏孤儿案 ,剧情 悬疑 家庭 古装
寂静岭,悬疑 恐怖
江湖正道 ,剧情
错点鸳鸯戏点鸳鸯 ,剧情
生死狙击,动作 悬疑 惊悚 犯罪
坐路车回家第集,剧情 家庭
蛋计划欢乐星球 ,喜剧 动画 儿童 冒险
武林猛虎 ,剧情 动作
岁月风云国语版,剧情 悬疑 犯罪
花千骨,剧情 爱情 奇幻 古装
南方有乔木 ,剧情 爱情
罪证 ,犯罪
深圳卫视,脱口秀
果栏中的江湖大嫂国语版,喜剧 爱情 犯罪
标清 电影层层追凶,剧情
楚乔传第集,剧情 犯罪
猎人,喜剧 动画 冒险
辣妈正传第集,剧情 喜剧 家庭
比得兔特别篇 ,喜剧 动画 冒险
龙珠传奇 ,剧情 爱情 古装
人民的名义 ,剧情 悬疑 犯罪
纪实高清,纪录片
保持通话,动作
聚焦三农,纪录片 脱口秀
青春万万岁 ,剧情
勇士之城 ,剧情 历史 战争
鸡毛飞上天第集,剧情
我和我的他们 ,剧情 爱情
万凰之王国语版,剧情 古装
闹分手害了哥的孩儿,古装
那年花开月正圆,剧情 古装
兄弟门第集,纪录片
三国演义 ,剧情 历史 战争
防务新观察,战争
谜砂,悬疑 犯罪
名侦探狄仁杰 ,喜剧 悬疑 短片 古装
HD第期 叛逆少年吴越,动画 悬疑 犯罪
数码宝贝第三季 ,动作 动画 惊悚 家庭 奇幻 冒险
我的真芯男友第集,科幻
 冷暖人生 血亲下,剧情 战争
道德与法治魔都风云,剧情 爱情
美食大冒险之文明之旅 ,动作 动画 冒险
夺宝 ,历史 战争
英雄祭 ,剧情 爱情
泰拉星环 ,动画 战争 奇幻
第三类接触,剧情 科幻
军情直播间,战争
惊天巨啸,剧情 家庭 灾难
美丽谎言,剧情
二次元视界封面,真人秀
黄金血道 ,剧情 动作
告密者 ,剧情 传记 犯罪
幸福的错觉 ,剧情
棉花糖和云朵妈妈 ,儿童
怪物公寓 ,动画
数码宝贝第一季 ,动作 动画 惊悚 家庭 奇幻 冒险
秋决,剧情
剧场 ,剧情 爱情 历史
京剧猫 ,动画 儿童 奇幻 冒险
锦绣缘华丽冒险 TV版 ,剧情 爱情
探索发现,纪录片
大明王朝 ,剧情 历史
极限挑战Ⅲ,真人秀
小情人第集,剧情 喜剧 爱情 奇幻
十全九美,喜剧
新相亲时代,真人秀
好想好想爱上你 ,喜剧 爱情
东方大头条,脱口秀
枪娘第集,动画
生死翻盘,剧情
潜行狙击 ,剧情 动作 爱情
醉玲珑番外之玲珑醉梦 ,爱情 古装
倚天屠龙记版,动作 武侠 古装
绣春刀,剧情 动作 武侠 古装
乐比悠悠教育系列之快乐成长 ,动画
大宅门 ,剧情 爱情 家庭 传记 历史
宝宝巴士之奇妙汉字 ,纪录片
昆仑决,运动
万万没想到,喜剧 奇幻 冒险 古装
动画乐翻天,喜剧 爱情
大戏看北京好久不见,脱口秀
青春最好时第集,剧情 爱情 悬疑
HD托马斯和他的朋友们SNEW,动画 短片 儿童
夺宝幸运星 ,喜剧 动画 短片
欢天喜地对亲家第集,喜剧
麻雀 ,剧情 悬疑
索玛花开 ,剧情
HD反恐特战队 第集,剧情
少帅 ,剧情 传记 历史
仙剑云之凡 ,爱情 奇幻 武侠 古装
使徒行者 ,剧情 动作 犯罪
乔省长和他的女儿们 ,剧情 家庭
商道天问 ,剧情 爱情
夜线,动作 动画
星猫历险记 古城大冒险 ,喜剧 动画 家庭 冒险
大都市小爱情第集,剧情 家庭
CCTV新闻,战争
拥抱星星的月亮,剧情 家庭
真相特别节目,纪录片
我要当八路 ,战争
今日亚洲,纪录片 战争 脱口秀
大宅门,剧情 爱情 家庭 传记 历史
反黑 国语版 ,剧情 犯罪
闯关东,剧情
侠捕之诡影迷踪,悬疑 武侠
爱情闯进门 ,爱情
亲爱的,剧情 家庭
海棠依旧第集,剧情 传记
地球之极,纪录片
厨子戏子痞子,喜剧 动作
电视剧场我的父亲我的兵―,剧情
心如铁,剧情 悬疑
精品财经纪录彩色二战,纪录片
非亲姐妹 ,剧情 家庭
少年师爷之知礼万事通 ,喜剧 动画
银河奥特曼,科幻
少林问道 ,剧情 古装
风云天地第集,剧情 家庭
蒙面唱将猜猜猜,音乐 真人秀
健康之路,真人秀
今日说法,纪录片
家庭影院测试,喜剧 动画 短片
托马斯和他的朋友们 第四季 ,动画 短片 儿童
发现,剧情 爱情 科幻 悬疑
拍案说法,脱口秀
王牌对王牌下,剧情 动作 悬疑 惊悚 犯罪
喵星人,喜剧 儿童 奇幻
再说一次我愿意 ,剧情 爱情
企鹅家族第四季,动画 家庭
小旋风柴进之丹书铁券,古装
因为爱情有多美第集,剧情 爱情
母乳喂养宣传片,动作 短片 武侠
冥界,惊悚 恐怖
猪猪侠 第十部 五灵守卫者 ,动画
大叔我爱你,喜剧 爱情
王牌保安,动作 惊悚 犯罪
阿优之神奇幻镜 ,动画 儿童
HD凤囚凰 第集,剧情 爱情 古装
极品家丁 ,喜剧 古装
HD喜羊羊与灰太狼之洋洋得意喜羊羊之二new,动画 儿童
HD欢乐喜剧人娱乐,喜剧
栋笃神探国语版,喜剧 犯罪
乔杉 修睿 柳岩 大兵最好的礼物,歌舞
独立日大电影,动作 科幻 冒险 灾难
大耳朵图图第部TV版 ,喜剧 动画 冒险
HD好久不见 第集,音乐 舞台艺术
暗黑者第集,剧情 喜剧 悬疑 犯罪
欢乐颂第集,剧情 爱情
绝命后卫师 ,剧情 战争
对与决 ,剧情
新闻联播,纪录片
我爱我家第集,喜剧 家庭
武则天秘史 ,传记 历史
一剧场我的父亲我的兵―,剧情
好运来临TV版第集,恐怖 短片
HD期 全国总决赛进,动画 运动
零速争霸 ,动画 儿童 冒险 运动
仙剑奇侠传三 ,爱情 奇幻 武侠 古装
欢乐之城第二部 ,剧情
小马宝莉第四季,喜剧 动画 冒险
英雄本色预告片,剧情 动作
海绵宝宝 第八季 ,喜剧 动画 家庭
森冤,惊悚 恐怖 犯罪
中国排球超级联赛全明星赛,音乐
飞天小女警第一季,喜剧 动画 儿童
林海雪原,剧情
原来就是你 ,喜剧 爱情
幸福计 ,剧情 喜剧 家庭
大耳朵图图Ⅲ,喜剧 动画 冒险
一个人的皮影戏,剧情
大清盐商 ,剧情 传记 历史 古装
喜剧总动员Ⅱ,喜剧 真人秀
风暴,动作 犯罪
经济半小时,纪录片 脱口秀
大话西游之月光宝盒,喜剧 爱情 奇幻 冒险
包公出巡之明镜高悬 ,剧情
王牌对王牌,剧情 动作 悬疑 惊悚 犯罪
美人鱼,喜剧 爱情 奇幻
武媚娘传奇 ,传记 历史 古装
雪狼,剧情 爱情 战争
重要的财商教育,短片
我的爱情撞上了战争,剧情 战争
隋唐英雄之薛刚反唐 ,剧情
HD爱情公寓第集,剧情 爱情 情色
我的小姨,剧情 爱情 家庭
奇星记之鲜衣怒马少年时 ,剧情 奇幻 古装
前情提要阳光下的法庭,剧情
迪迦奥特曼new,动作 科幻 奇幻 冒险
好久不见  ,剧情 爱情
深夜食堂第集,剧情
